date,substance,valeur
2009,Amphétamines,182
2009,Crack,13
2009,Ecstasy,98
2009,Cocaïn,4533
2009,Métamphétamine,84
2009,Khat,67
2009,Cannabis,162
2009,Chanvre (plante sèche),120
2009,Haschisch,2552
2009,Marijuana,21953
2009,Héroïne,4755
2009,Méthadone,108
2009,Opium,3
2009,LSD,23
2009,GHB/GBL,66
2009,Plusieurs,7875
2010,Amphétamines,251
2010,Crack,18
2010,Ecstasy,76
2010,Cocaïn,4245
2010,Métamphétamine,65
2010,Khat,85
2010,Cannabis,30
2010,Chanvre (plante sèche),180
2010,Haschisch,2085
2010,Marijuana,24232
2010,Héroïne,4448
2010,Méthadone,107
2010,Opium,4
2010,LSD,25
2010,GHB/GBL,58
2010,Plusieurs,7540
2011,Amphétamines,256
2011,Crack,2
2011,Ecstasy,130
2011,Cocaïn,4078
2011,Métamphétamine,50
2011,Khat,70
2011,Cannabis,5
2011,Chanvre (plante sèche),64
2011,Haschisch,2124
2011,Marijuana,25461
2011,Héroïne,3718
2011,Méthadone,99
2011,Opium,4
2011,LSD,21
2011,GHB/GBL,120
2011,Plusieurs,6723
2012,Amphétamines,295
2012,Crack,4
2012,Ecstasy,176
2012,Cocaïn,4178
2012,Métamphétamine,93
2012,Khat,89
2012,Cannabis,6
2012,Chanvre (plante sèche),51
2012,Haschisch,1861
2012,Marijuana,26904
2012,Héroïne,3324
2012,Méthadone,95
2012,Opium,3
2012,LSD,17
2012,GHB/GBL,59
2012,Plusieurs,6897
2013,Amphétamines,413
2013,Crack,8
2013,Ecstasy,178
2013,Cocaïn,4107
2013,Métamphétamine,59
2013,Méphédrone,4
2013,Khat,99
2013,Cannabis,2
2013,Chanvre (plante sèche),40
2013,Haschisch,1894
2013,Marijuana,27549
2013,Héroïne,3250
2013,Méthadone,88
2013,Opium,5
2013,LSD,33
2013,GHB/GBL,38
2013,Plusieurs,7414
2014,Amphétamines,411
2014,Crack,13
2014,Ecstasy,212
2014,Cocaïn,4148
2014,Métamphétamine,125
2014,Khat,77
2014,Méphédrone,0
2014,Chanvre (plante sèche),20
2014,Haschisch,1113
2014,Marijuana,19633
2014,Cannabinoïdes de synthèse,3
2014,Héroïne,3714
2014,Méthadone,94
2014,Opium,7
2014,LSD,27
2014,GHB/GBL,27
2014,Plusieurs,7220
2015,Amphétamines,509
2015,Crack,2
2015,Ecstasy,207
2015,Cocaïn,3933
2015,Métamphétamine,182
2015,Khat,43
2015,Méphédrone,1
2015,Chanvre (plante sèche),39
2015,Haschisch,1236
2015,Marijuana,19760
2015,Cannabinoïdes de synthèse,7
2015,Héroïne,3429
2015,Méthadone,79
2015,Opium,4
2015,LSD,50
2015,GHB/GBL,29
2015,Plusieurs,7292
2016,Amphétamines,516
2016,Crack,21
2016,Ecstasy,260
2016,Cocaïn,5052
2016,Métamphétamine,165
2016,Khat,4
2016,Méphédrone,1
2016,Chanvre (plante sèche),13
2016,Haschisch,1594
2016,Marijuana,18464
2016,Cannabinoïdes de synthèse,13
2016,Héroïne,3630
2016,Méthadone,74
2016,Opium,3
2016,LSD,31
2016,GHB/GBL,41
2016,Plusieurs,7826
2017,Amphétamines,445
2017,Crack,15
2017,Ecstasy,229
2017,Cocaïn,5352
2017,Métamphétamine,254
2017,Khat,19
2017,Méphédrone,2
2017,Chanvre (plante sèche),17
2017,Haschisch,1806
2017,Marijuana,17656
2017,Cannabinoïdes de synthèse,21
2017,Héroïne,2794
2017,Méthadone,62
2017,Opium,2
2017,LSD,36
2017,GHB/GBL,42
2017,Plusieurs,7878
2018,Amphétamines,427
2018,Crack,23
2018,Ecstasy,244
2018,Cocaïn,5374
2018,Métamphétamine,259
2018,Khat,8
2018,Méphédrone,6
2018,Chanvre (plante sèche),21
2018,Haschisch,2472
2018,Marijuana,15462
2018,Cannabinoïdes de synthèse,31
2018,Héroïne,2294
2018,Méthadone,64
2018,Opium,14
2018,LSD,39
2018,GHB/GBL,36
2018,Plusieurs,8064
2019,Amphétamines,381
2019,Crack,30
2019,Ecstasy,263
2019,Cocaïn,5627
2019,Métamphétamine,242
2019,Khat,32
2019,Méphédrone,0
2019,Chanvre (plante sèche),9
2019,Haschisch,3307
2019,Cannabinoïdes de synthèse,24
2019,Héroïne,2102
2019,Méthadone,46
2019,Opium,6
2019,LSD,62
2019,GHB/GBL,48
2019,Plusieurs,8327
2019,Marijuana,13243